onset_time	duration	type	stimuli
1000	1	SOUND	LaCigaleEtLaFourmi_titre.flac
8500	1250	TEXT	La Cigale, ayant chanté tout l’été,
10000	1250	TEXT	Se trouva fort dépourvue
11500	1250	TEXT	Quand la bise fut venue :
13000	1250	TEXT	Pas un seul petit morceau
14500	1250	TEXT	De mouche ou de vermisseau.
16000	1250	TEXT	Elle alla crier famine
17500	1250	TEXT	Chez la Fourmi sa voisine,
19000	1250	TEXT	La priant de lui prêter
20500	1250	TEXT	Quelque grain pour subsister
22000	1250	TEXT	Jusqu’à la saison nouvelle.
23500	1250	TEXT	« Je vous paierai, lui dit-elle,
25000	1250	TEXT	Avant l’Août, foi d’animal,
26500	1250	TEXT	Intérêt et principal. »
28000	1250	TEXT	La Fourmi n’est pas prêteuse :
29500	1250	TEXT	C’est là son moindre défaut.
31000	1250	TEXT	Que faisiez-vous au temps chaud ?
32500	1250	TEXT	Dit-elle à cette emprunteuse.
34000	1250	TEXT	Nuit et jour à tout venant
35500	1250	TEXT	Je chantais, ne vous déplaise.
37000	1250	TEXT	Vous chantiez ? j’en suis fort aise.
38500	1250	TEXT	Eh bien! dansez maintenant.
40000	3000	TEXT	Jean de La Fontaine
