onset_time	duration	type	stimuli
0	4000	BOX	Attention !  les intructions vont défiler automatiquement et rapidement. Restez attentif ...
4000	7500	BOX	Durant les cinq prochaines minutes, vous aurez à effectuer de façon alternée, une succession de 4 tâches différentes.
11500	9000	BOX	1- Ecoute ou lecture de phrases : vous aurez juste à les écouter/lire attentivement (lecture silencieuse sans RIEN prononcer).
20500	8000	BOX	2- Ecoute ou lecture de soustractions : vous devrez les résoudre mentalement.- Ne PAS donner de réponse orale.- Faire les calculs jusqu'au bout.
28500	8000	BOX	3- 'Appuyez 3 fois sur le bouton gauche / droit' : pressez alors sur le bon bouton aussi vite que possible (!!) suivant les instructions auditives/visuelles  (laisser l'autre main au repos).
36500	7000	BOX	4- Visualisation passive de damiers noir et blanc  (garder le regard au centre des damiers!)
43500	200	IMAGE	checkerboard_hpb.bmp
43700	200	IMAGE	checkerboard_hnb.bmp
43900	200	IMAGE	checkerboard_hpb.bmp
44100	200	IMAGE	checkerboard_hnb.bmp
44300	200	IMAGE	checkerboard_hpb.bmp
44500	200	IMAGE	checkerboard_hnb.bmp
44700	7000	BOX	Les stimulations visuelles consisteront en une série de groupe de mots (phrase, instruction ou calcul) présentées rapidement.
51700	2000	TEXT	en voici deux exemples
54700	250	TEXT	un incident
55050	250	TEXT	s'est produit
55400	250	TEXT	à l'entrée
55750	250	TEXT	de l'usine
60000	250	TEXT	calculez
60350	250	TEXT	neuf
60700	250	TEXT	moins
61050	250	TEXT	trois
64300	7000	BOX	Durant chaque essai, évitez de bouger les yeux. Une croix vous aidera à garder votre regard au centre de l'écran.
73300	6000	BOX	Les stimulations auditives (phrases, instruction ou calcul) ressembleront aux deux exemples suivants:
80300	4000	SOUND	exemple.wav
84300	4000	SOUND	calc25.wav
88300	6000	BOX	ATTENTION! ces essais vont se succéder assezrapidement. Restez donc attentif tout au long de ces cinq minutes.
96300	4000	BOX	 Nous allons bientôt commencer
