onset_time	type	cond	stimuli
0	TEXT_STREAM	calculvideo	calculez~seize~moins~huit
2400	TEXT_STREAM	calculvideo	calculez~dix~moins~deux
8700	IMAGE_STREAM	CheckboardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
11400	SOUND_STUFF	clicDaudio	clic3D.wav
15000	SOUND_STUFF	phraseAudio	ph1.wav
18000	TEXT_STREAM	clicDvideo	appuyez~trois fois~sur le bouton~droit
20700	SOUND_STUFF	phraseAudio	ph2.wav
23700	SOUND_STUFF	clicGaudio	clic3G.wav
26700	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
29700	SOUND_STUFF	phraseAudio	ph3.wav
33000	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
35400	SOUND_STUFF	calculaudio	calc5.wav
39000	TEXT_STREAM	phraseVideo	l'orage~a effrayé~les animaux~du zoo
41700	TEXT_STREAM	phraseVideo	les chats~guettent~un oiseau~sur le mur
44700	SOUND_STUFF	calculaudio	calc1.wav
48000	SOUND_STUFF	calculaudio	calc4.wav
56400	TEXT_STREAM	phraseVideo	le donjon~du château~tombe~en ruine
59700	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
62400	SOUND_STUFF	clicGaudio	clic3G.wav
69000	TEXT_STREAM	clicDvideo	appuyez~trois fois~sur le bouton~droit
71400	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
75000	TEXT_STREAM	phraseVideo	du balcon~on a vu~le passage~du défilé
83400	SOUND_STUFF	calculaudio	calc6.wav
87000	SOUND_STUFF	clicDaudio	clic3D.wav
89700	SOUND_STUFF	phraseAudio	ph4.wav
96000	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
108000	SOUND_STUFF	calculaudio	calc10.wav
116700	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
119400	SOUND_STUFF	phraseAudio	ph5.wav
122700	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
125400	TEXT_STREAM	calculvideo	calculez~onze~moins~neuf
131400	TEXT_STREAM	phraseVideo	les ours~adorent~le saumon~et le miel
135000	SOUND_STUFF	calculaudio	calc2.wav
137700	SOUND_STUFF	calculaudio	calc8.wav
140400	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
143400	SOUND_STUFF	clicDaudio	clic3D.wav
146700	SOUND_STUFF	phraseAudio	ph6.wav
149400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
153000	TEXT_STREAM	calculvideo	calculez~douze~moins~quatre
156000	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
159000	TEXT_STREAM	phraseVideo	en ville~on trouve~facilement~des taxis
162000	SOUND_STUFF	clicDaudio	clic3D.wav
164400	TEXT_STREAM	calculvideo	calculez~dix-neuf~moins~six
167700	TEXT_STREAM	phraseVideo	le froid~de l'hiver~a gelé~le lac
170400	SOUND_STUFF	clicGaudio	clic3G.wav
173700	SOUND_STUFF	calculaudio	calc9.wav
176700	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
188400	IMAGE_STREAM	CheckBoardH	checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp
191700	SOUND_STUFF	calculaudio	calc3.wav
195000	TEXT_STREAM	phraseVideo	il y a~beaucoup~de ponts~à Paris
198000	TEXT_STREAM	calculvideo	calculez~seize~moins~deux
201000	TEXT_STREAM	calculvideo	calculez~treize~moins~sept
203700	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
207000	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
210000	IMAGE_STREAM	CheckBoardV	checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp
212700	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
215700	TEXT_STREAM	clicGvideo	appuyez~trois fois~sur le bouton~gauche
